refs,qty_per_board,value,footprint,manufacturer,mpn,schematic_pn,mouser_pn,mouser_mpn,lifecycle,stock,min,mult,order_5,unit_5,ext_5,order_10,unit_10,ext_10,notes
R17,1,0R,R_0402_1005Metric,YAGEO,0402WGF0000TCE,303-0402WGF0000TCE,603-RC0402JR-070RL,RC0402JR-070RL,,3982778,1,1,15,0.0060,0.09,20,0.0060,0.12,SUBSTITUTE: UniOhm 0402WGF0000TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
R10 R11 R15 R16 R33 R38 R45 R5 R50 R51 R6 R63 R7 R8 R9,15,100R,R_0402_1005Metric,YAGEO,0402WGF1000TCE,303-0402WGF1000TCE,603-RC0402FR-07100RL,RC0402FR-07100RL,,7434573,1,1,100,0.0060,0.60,165,0.0060,0.99,SUBSTITUTE: UniOhm 0402WGF1000TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
R12 R13 R18 R19 R20 R3 R30 R4 R54 R55 R56 R58 R59 R62 R65 R67,16,100k,R_0402_1005Metric,YAGEO,0402WGF1003TCE,303-0402WGF1003TCE,603-RC0402FR-07100KL,RC0402FR-07100KL,,5896576,1,1,100,0.0070,0.70,176,0.0070,1.23,SUBSTITUTE: UniOhm 0402WGF1003TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
C10 C13 C21 C22 C23 C24 C25 C32 C33 C34 C35 C38 C49 C5 C57 C59 C6 C60 C62 C63 C64 C65 C7 C72 C73 C78 C79 C8 C80 C81 C9 C93 C95,33,100n,C_0402_1005Metric,Samsung Electro-Mechanics,CL05B104KO5NNNC,187-CL05B104KO5NNNC,187-CL05B104KO5NNNC,CL05B104KO5NNNC,,38781,1,1,182,0.0160,2.91,500,0.0110,5.50,
C14 C55 C91 C92,4,100p,C_0402_1005Metric,YAGEO,GRM1555C1H101JA01D,81-GRM1555C1H101JA1D,603-CC402JRNPO9BN101,CC0402JRNPO9BN101,,1177118,1,1,30,0.0250,0.75,50,0.0170,0.85,SUBSTITUTE: 100 pF C0G 5% 0402 (Murata GRM1555C1H101JA01D: 0 stock)
R37,1,10R,R_0402_1005Metric,YAGEO,0402WGF100JTCE,303-0402WGF100JTCE,603-RC0402FR-0710RL,RC0402FR-0710RL,,1245375,1,1,15,0.0140,0.21,20,0.0140,0.28,SUBSTITUTE: UniOhm 0402WGF100JTCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
R34 R36 R70,3,10k,R_0402_1005Metric,YAGEO,0402WGF1002TCE,303-0402WGF1002TCE,603-RC0402FR-0710KL,RC0402FR-0710KL,,17007105,1,1,25,0.0090,0.22,40,0.0090,0.36,SUBSTITUTE: UniOhm 0402WGF1002TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
C1 C2 C3 C4 C61,5,10n,C_0402_1005Metric,Samsung Electro-Mechanics,CL05B103KO5NNNC,187-CL05B103KO5NNNC,187-CL05B103KO5NNNC,CL05B103KO5NNNC,,423566,1,1,50,0.0150,0.75,60,0.0150,0.90,
L8,1,10n,L_0402_1005Metric,Murata Electronics,LQG15HH10NJ02D,81-LQG15HH10NJ02D,81-LQG15HH10NJ02D,LQG15HH10NJ02D,,7560,1,1,15,0.1020,1.53,20,0.1020,2.04,
C44 C46 C51 C53,4,10u,C_0402_1005Metric,YAGEO,CL05A106MQ5NUNC,187-CL05A106MQ5NUNC,603-CC0402MPX5R5B106,CC0402MPX5R5BB106,,40896,1,1,30,0.1100,3.30,50,0.1100,5.50,"SUBSTITUTE: 10 uF 6.3 V X5R 0402, 20% (original Samsung CL05A106MQ5NUNC: 0 stock, 365-day lead)"
C18 C70 C71 C74 C75 C76 C77 C82 C83 C84 C85 C86 C87 C89 C90 C94,16,10u,C_0805_2012Metric,Samsung Electro-Mechanics,CL21A106KBYQNNE,187-CL21A106KBYQNNE,187-CL21A106KBYQNNE,CL21A106KBYQNNE,,8165,1,1,88,0.5220,45.94,176,0.4640,81.66,
Y2,1,12.0M,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,ECS,ECS-2520MV-120-BN-TR,520-2520MV-120-BN-T,520-2520MV-120-BN-T,ECS-2520MV-120-BN-TR,,6174,1,1,7,1.2400,8.68,12,0.9750,11.70,
FB4 FB5,2,120R,L_0805_2012Metric,Murata Electronics,BLM21PG121SN1D,81-BLM21P121SG,81-BLM21PG121SN1D,BLM21PG121SN1D,,194677,1,1,15,0.0860,1.29,25,0.0740,1.85,Schematic PN 81-BLM21P121SG is not a Mouser number
R66,1,127k,R_0402_1005Metric,Panasonic Industry,0402WGF1273TCE,303-0402WGF1273TCE,667-ERJ-2RKF1273X,ERJ-2RKF1273X,,31219,1,1,15,0.0190,0.28,20,0.0190,0.38,SUBSTITUTE: UniOhm 0402WGF1273TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
R1,1,12k,R_0402_1005Metric,YAGEO,0402WGF1202TCE,303-0402WGF1202TCE,603-RC0402FR-0712KL,RC0402FR-0712KL,,417547,1,1,15,0.0090,0.13,20,0.0090,0.18,SUBSTITUTE: UniOhm 0402WGF1202TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
R23,1,133k/1%,R_0402_1005Metric,YAGEO,RC0402FR-07133KL,603-RC0402FR-07133KL,603-RC0402FR-07133KL,RC0402FR-07133KL,,572692,1,1,15,0.0110,0.16,20,0.0110,0.22,
R42,1,150R,R_0402_1005Metric,Panasonic Industry,0402WGF1500TCE,303-0402WGF1500TCE,667-ERJ-2RKF1500X,ERJ-2RKF1500X,,198580,1,1,15,0.0190,0.28,20,0.0190,0.38,SUBSTITUTE: UniOhm 0402WGF1500TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
R43,1,150R/0.5W,R_0402_1005Metric,Panasonic Industry,ERJPA2F1500X,667-ERJ-PA2F1500X,667-ERJ-PA2F1500X,ERJ-PA2F1500X,,15513,1,1,15,0.0720,1.08,20,0.0720,1.44,
R49,1,15k,R_0402_1005Metric,YAGEO,0402WGF1502TCE,303-0402WGF1502TCE,603-RC0402FR-0715KL,RC0402FR-0715KL,,1653932,1,1,15,0.0110,0.16,20,0.0110,0.22,SUBSTITUTE: UniOhm 0402WGF1502TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
F1,1,1812L200/16GR,Fuse_1812L200,Littelfuse,1812L200/16GR,,576-1812L200/16DR,1812L200/16DR,,18264,1,1,7,1.0300,7.21,12,0.9500,11.40,"Mouser stocks /16DR, not /16GR: same 16 V 2 A device, different packaging suffix; confirm; MPN differs: schematic 1812L200/16GR vs Mouser 1812L200/16DR"
C26,1,18p,C_0402_1005Metric,YAGEO,CC402JRNPO9BN180,603-CC402JRNPO9BN180,603-CC402JRNPO9BN180,CC0402JRNPO9BN180,,237216,1,1,15,0.0280,0.42,20,0.0280,0.56,MPN differs: schematic CC402JRNPO9BN180 vs Mouser CC0402JRNPO9BN180
R14 R48,2,1k,R_0402_1005Metric,YAGEO,0402WGF1001TCE,303-0402WGF1001TCE,603-RC0402FR-071KL,RC0402FR-071KL,,3745823,1,1,20,0.0090,0.18,30,0.0090,0.27,SUBSTITUTE: UniOhm 0402WGF1001TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
R28,1,1k96,R_0402_1005Metric,YAGEO,0402WGF1961TCE,303-0402WGF1961TCE,603-RC0402FR-071K96L,RC0402FR-071K96L,,11292,1,1,15,0.0090,0.13,20,0.0090,0.18,SUBSTITUTE: UniOhm 0402WGF1961TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
C15 C47 C48 C50 C88,5,1n,C_0402_1005Metric,YAGEO,CC0402JRNPO9BN102,603-CC402JRNPO9BN102,603-CC402JRNPO9BN102,CC0402JRNPO9BN102,,37103,1,1,50,0.0520,2.60,60,0.0520,3.12,
C40 C41 C43 C45,4,1u,C_0402_1005Metric,Samsung Electro-Mechanics,CL05A105KA5NQNC,187-CL05A105KA5NQNC,187-CL05A105KA5NQNC,CL05A105KA5NQNC,,154661,1,1,30,0.1200,3.60,50,0.1200,6.00,
L9,1,1uH,SLO0520H1R0MTT,,SLO0520H1R0MTT,,,,,,,,7,,,12,,,Not on Mouser; needs a footprint-verified equivalent
L3,1,2.2 uH,L_TDK_SPM6530,TDK,SPM6530T-2R2M,652-SPM6530T-2R2M,810-SPM6530T-2R2M,SPM6530T-2R2M,,807,1,1,7,0.9800,6.86,12,0.8030,9.64,Schematic PN 652-SPM6530T-2R2M is not a Mouser number
L7,1,2.4nH,L_0603_1608Metric,Murata Electronics,LQW18AN2N4C8ZD,81-LQW18AN2N4C8ZD,81-LQW18AN2N4C8ZD,LQW18AN2N4C8ZD,,3487,1,1,15,0.1660,2.49,20,0.1660,3.32,
L5,1,20nH,L_0402_1005Metric,Coilcraft,0402HP-20NXGRW,994-0402HP-20NXGRW,994-0402HP-20NXGRW,0402HP-20NXGRW,,695,1,1,15,1.1900,17.85,20,1.1900,23.80,
FB1 FB2 FB3,3,220R,L_0805_2012Metric,Murata Electronics,BLM21PG221SN1D,81-BLM21P221SG,81-BLM21P221SG,BLM21PG221SN1D,,1163662,1,1,25,0.0630,1.57,35,0.0630,2.21,
R21,1,220k/1%,R_0402_1005Metric,YAGEO,0402WGF2203TCE,303-0402WGF2203TCE,603-RC0402FR-07220KL,RC0402FR-07220KL,,192122,1,1,15,0.0090,0.13,20,0.0090,0.18,SUBSTITUTE: UniOhm 0402WGF2203TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
R2 R31,2,22k,R_0402_1005Metric,YAGEO,0402WGF2202TCE,303-0402WGF2202TCE,603-RC0402FR-0722KL,RC0402FR-0722KL,,245959,1,1,20,0.0090,0.18,30,0.0090,0.27,SUBSTITUTE: UniOhm 0402WGF2202TCE is 10k-reel-only on Mouser; 1% 0402 thick-film equivalent
